,hh_old_pct_moe,hh_size,fertility_moe,hh_pop,tract_id,foreign_pct,hh,badenglish_pct,same_house_pct,nonenglish_pct_moe,same_house_pct_moe,noncitizen_pct_moe,hh_moe,hh_pop_moe,hh_size_moe,ba_grad_pct_moe,ba_grad_pct,disab_pct,hh_youth_pct_moe,hs_grad_pct,noncitizen_pct,nonenglish_pct,hh_old_pct,hh_youth_pct,badenglish_pct_moe,fertility,hs_grad_pct_moe,disab_pct_moe,foreign_pct_moe,school_pct_moe,school_pct,med_hh_inc,mean_hh_inc,health_ins_pct,mean_hh_inc_moe,unemp_pct,poverty_pct_moe,health_ins_pct_moe,med_hh_inc_moe,poverty_pct,unemp_pct_moe,med_rooms_per_hh_moe,rent_vacancy_pct_moe,rent_vacancy_pct,no_car_pct_moe,occ_rent_pct_moe,unaff_rent_pct_moe,crowded_pct_moe,unaff_mortgage_pct_moe,moved_in_post_2010_pct_moe,med_housing_value_moe,med_housing_value,no_car_pct,unaff_mortgage_pct,crowded_pct,unaff_rent_pct,moved_in_post_2010_pct,med_rooms_per_hh,occ_rent_pct,afam_pct_moe,hisp_pct,hisp_pct_moe,white_pct_moe,white_pct,afam_pct,asian_pct_moe,asian_pct
101,3.7,3.07,(X),3766,6075023103,6.2,1225,5.7,78.8,6.9,8.5,16.1,110,421,0.28,6.5,14.0,12.1,7.9,81.3,46.6,22.0,11.9,59.8,3.0,60,6.6,3.7,3.2,(X),1712,19794,31537,91.5,6189,31.7,11.7,4.0,8159,43.6,9.4,0.2,(X),(X),8.9,(X),10.0,3.0,29.0,5.1,279013,418800,46.8,37.7,0.0,41.2,9.9,4.9,1052,7.8,3766,(X),6.3,10.1,76.3,2.7,3.1
102,8.4,3.38,(X),4353,6075023200,31.6,1289,22.4,83.4,9.7,6.2,17.3,92,545,0.46,7.5,16.8,12.4,10.2,75.1,48.1,43.5,28.2,43.6,7.6,0,7.9,4.3,9.7,(X),1517,41476,56359,81.3,10678,18.0,7.2,7.3,3523,14.2,8.3,0.4,(X),(X),7.3,(X),15.1,2.6,14.5,3.0,36701,437400,18.6,58.0,2.7,58.2,2.9,5.4,617,6.5,4397,(X),9.7,29.2,46.8,6.4,11.9
103,7.5,4.28,(X),3100,6075023300,58.7,724,50.0,88.5,7.7,5.8,12.9,69,465,0.52,5.3,18.7,8.8,9.9,63.6,34.6,77.1,24.4,45.2,7.4,48,8.8,3.0,7.1,(X),844,82321,93443,89.0,12735,9.2,4.8,4.2,17555,6.5,4.4,0.7,(X),(X),1.6,(X),21.4,3.1,13.0,7.6,46116,534200,1.4,45.8,3.6,31.8,16.4,5.1,211,5.9,3132,(X),5.2,13.1,14.7,8.5,63.0
104,6.3,3.84,(X),3747,6075023400,37.2,977,33.5,91.3,7.5,4.1,9.9,100,495,0.35,5.8,12.5,12.6,11.5,57.4,59.7,58.5,27.5,40.7,6.4,59,10.4,4.7,7.0,(X),877,50650,63561,84.2,13597,14.7,15.4,4.8,28524,31.3,6.6,0.6,(X),(X),11.1,(X),18.3,9.3,23.2,8.8,74962,558300,26.5,62.0,16.2,45.6,12.4,5.1,557,6.2,3754,(X),12.2,27.1,20.0,5.6,22.7
105,5.1,2.43,(X),3157,6075025100,22.0,1299,7.6,91.0,6.0,3.4,12.7,82,229,0.17,6.2,61.2,9.7,6.1,94.9,44.6,27.4,22.5,26.3,2.7,77,3.0,2.6,4.6,(X),570,85282,112601,93.4,13688,5.7,2.7,3.1,9694,1.8,3.3,0.2,(X),(X),3.3,(X),14.4,1.2,12.3,3.3,58862,738400,7.0,46.7,0.7,37.7,5.2,5.2,422,3.8,3198,(X),6.2,71.6,5.9,3.8,20.8
106,4.6,2.59,(X),5737,6075025200,24.1,2216,17.9,87.1,7.2,4.6,15.4,108,594,0.23,7.4,55.1,7.8,7.9,88.4,60.8,43.0,13.9,26.2,9.2,50,10.0,2.7,8.6,(X),1334,123500,138774,86.9,17564,4.1,3.4,7.4,28202,3.2,3.0,0.2,(X),(X),7.5,(X),11.1,1.7,10.2,5.8,80414,794600,18.5,25.3,0.0,19.4,10.6,5.0,972,4.1,5766,(X),7.8,74.7,6.7,3.7,14.2
107,3.5,2.56,(X),4687,6075025300,22.8,1828,13.2,89.1,5.8,3.7,13.5,69,425,0.22,6.8,54.0,4.9,3.9,92.7,52.8,35.7,13.9,24.1,5.3,80,2.4,1.9,5.0,(X),865,102813,123183,89.9,13493,5.7,6.6,3.9,19852,7.6,3.0,0.3,(X),(X),5.5,(X),8.2,2.8,10.5,4.5,61737,743100,19.4,32.6,4.1,31.9,10.4,4.5,941,3.6,4812,(X),8.2,71.4,7.3,3.5,13.0
108,6.7,2.76,(X),3504,6075025401,34.6,1270,29.4,90.2,8.2,5.0,13.7,102,372,0.28,9.3,44.7,7.1,7.1,82.0,62.3,47.4,17.1,30.6,8.5,25,12.1,3.2,7.9,(X),910,67984,97456,81.9,17891,10.9,9.7,6.9,30875,13.6,5.0,0.4,(X),(X),8.8,(X),14.3,1.6,11.7,5.8,67806,770200,33.9,42.8,1.7,54.8,10.1,4.7,681,5.3,3510,(X),9.1,68.8,8.5,7.1,15.8
109,4.7,2.72,(X),3094,6075025402,29.1,1138,11.5,85.7,8.6,4.9,10.7,43,266,0.24,7.7,57.8,6.4,6.0,93.5,36.8,36.2,18.3,29.3,5.9,53,3.5,2.7,7.9,(X),638,86167,108678,93.0,12965,10.1,3.3,3.6,19031,2.8,4.9,0.2,(X),(X),2.9,(X),19.8,1.6,11.0,6.7,50958,724400,3.0,40.5,0.8,28.3,12.6,5.1,265,2.0,3108,(X),8.7,63.4,3.2,5.9,32.6
110,5.4,3.71,(X),5371,6075025403,46.4,1448,33.1,92.8,8.1,3.4,11.4,100,522,0.32,5.8,31.4,8.8,7.0,77.8,45.1,59.8,20.9,42.1,7.2,143,5.8,2.3,7.4,(X),1309,74500,104327,83.5,24944,9.5,4.8,4.5,13074,11.1,2.5,0.5,(X),(X),6.1,(X),17.3,2.4,14.5,3.5,58658,698300,14.5,44.9,2.9,37.1,5.3,5.3,717,2.7,5385,(X),7.8,53.2,6.7,6.0,31.3
111,4.9,3.55,(X),8665,6075025500,45.6,2441,29.2,92.1,6.5,4.4,6.7,98,732,0.33,6.0,31.8,9.1,7.3,83.1,31.8,62.1,31.5,39.6,5.1,206,5.1,2.6,6.1,(X),2110,86526,105918,87.9,10572,6.5,2.1,4.0,13667,1.9,3.0,0.3,(X),(X),3.6,(X),14.3,3.8,8.6,2.9,23812,636100,7.6,29.2,3.3,45.0,4.4,5.5,815,0.9,8731,(X),7.2,46.3,1.3,6.0,37.3
112,5.7,3.69,(X),5698,6075025600,52.2,1543,40.1,87.9,5.4,6.2,7.5,65,400,0.27,5.0,26.6,12.4,6.1,73.2,28.0,73.1,41.2,38.5,5.2,90,6.2,2.8,5.0,(X),1515,69556,86575,89.3,8932,7.9,1.6,3.8,14060,1.3,3.1,0.2,(X),(X),5.2,(X),20.5,1.2,9.7,3.1,21677,597600,9.7,48.8,1.0,60.1,4.1,5.1,286,1.7,5719,(X),6.6,32.3,2.7,5.4,57.5
113,6.9,3.56,(X),4429,6075025701,43.1,1243,40.5,95.2,7.5,3.4,6.4,107,382,0.33,4.9,21.7,9.7,6.7,67.3,17.2,63.8,39.0,33.0,6.3,49,6.5,4.1,5.1,(X),1073,78922,112929,90.9,30595,9.8,6.0,4.3,10297,13.4,4.6,0.3,(X),(X),7.0,(X),18.7,2.5,13.9,2.9,31378,589500,14.9,41.2,2.4,27.5,3.0,5.2,322,1.5,4442,(X),7.6,31.0,1.9,4.7,61.7
114,8.7,3.52,(X),3853,6075025702,55.3,1095,43.7,93.5,9.3,4.9,10.2,104,468,0.41,8.0,20.9,6.2,9.5,59.0,37.3,78.6,39.9,38.0,7.8,35,10.2,2.5,7.2,(X),1110,65047,79698,80.6,15078,10.5,7.6,6.1,17807,6.8,6.4,0.3,(X),(X),8.8,(X),19.6,3.3,22.4,5.9,69701,595600,15.1,34.6,2.7,43.7,7.4,4.8,421,3.3,3889,(X),11.0,35.0,2.2,10.5,62.0
115,8.7,3.39,(X),2036,6075025800,49.8,601,41.5,87.2,7.3,7.7,16.3,48,226,0.32,7.9,14.9,12.9,9.0,68.9,34.4,65.4,35.1,41.4,6.4,38,7.9,3.5,7.1,(X),534,53274,67097,93.4,13196,10.3,12.6,2.7,17110,18.5,6.2,0.3,(X),(X),4.1,(X),17.4,0.9,13.0,6.6,32967,594100,5.0,64.2,0.5,68.1,10.5,4.9,232,4.2,2044,(X),6.6,21.7,6.8,7.5,61.4
116,5.2,3.20,(X),4166,6075025900,38.3,1300,26.4,91.2,7.5,4.7,11.4,100,588,0.39,6.5,34.0,12.7,6.5,81.4,23.1,55.6,35.8,28.7,6.8,50,5.8,3.3,6.1,(X),1108,90409,102347,94.8,15452,7.1,6.4,2.3,8194,7.4,6.4,0.4,(X),(X),5.1,(X),17.2,1.5,13.6,6.2,42647,680500,10.1,43.7,1.2,49.9,11.2,5.4,397,7.3,4248,(X),8.3,29.3,16.6,7.2,45.3
117,5.6,4.08,(X),5718,6075026001,54.3,1403,39.8,86.9,6.3,6.8,7.2,100,572,0.43,5.7,25.3,9.5,6.6,70.4,59.2,73.0,36.7,43.5,6.0,59,6.3,2.3,4.4,(X),1496,78225,93163,85.7,14234,8.5,6.7,4.6,16768,10.9,2.8,0.2,(X),(X),5.4,(X),13.4,1.2,9.8,5.3,35665,596300,14.0,36.5,0.8,50.3,8.0,5.3,630,3.4,5734,(X),7.5,39.9,4.4,5.9,42.0
